Name,Age,Home State,Status,Season,wins,top,bottom,safe,gender
Charlie Chapman,25,Louisiana,13th,6,2,0,1,3,m
Jesse Romero,29,Louisiana,14th,6,3,0,0,2,m
Veronica Cili,58,Florida,14th,6,1,0,1,3,f
Ailsa von Dobeneck,27,Virginia,15th,6,0,0,0,3,f
Dan Collado,29,Illinois,16th,6,1,0,0,3,m
Justin Banister,18,Texas,17th,6,1,0,0,1,m
Darah Carattini,29,California,18th,6,0,0,0,0,f
Brianna Watson,24,Massachusetts,19th,6,0,0,0,0,f
Mateo McConnell,38,Georgia,19th,6,0,0,0,0,m
Shaun O'Neale,33,Nevada,1st,7,7,0,1,15,m
Brandi Mudd,27,Kentucky,2nd,7,9,2,1,10,f
David Williams,35,Nevada,2nd,7,6,2,2,12,m
Tanorria Askew,34,Tennessee,3rd,7,4,4,3,10,f
Daniel Paustian,26,North Carolina,3rd,7,2,2,3,13,m
Katie Dixon,33,Michigan,4th,7,4,0,4,10,f
Nathan Barnhouse,20,Pennsylvania,4th,7,3,0,2,14,m
Eric Howard,26,New York,5th,7,2,1,4,8,m
Terrance Mueller,40,New York,5th,7,4,0,0,10,m
Diamond Alexander,24,California,6th,7,3,0,0,8,f
Andrea Galan,21,Florida,7th,7,3,1,2,4,m
Alejandro Toro,26,Florida,8th,7,2,1,1,4,f
D'Andre Balaoing,25,Nevada,9th,7,1,0,2,5,m
Diana Bilow,23,Illinois,9th,7,1,0,3,3,m
Manny Washington,29,Florida,10th,7,1,0,0,4,m
Lisa-Ann Marchesi,46,New Jersey,11th,7,1,0,1,2,f
Brittany Craig,22,New York,12th,7,0,0,1,1,f
Barbara Savage,51,Colorado,13th,7,0,0,0,0,f
Bill Travers,62,California,14th,7,0,0,1,0,m
Cassie Peterson,25,Iowa,14th,7,0,0,0,0,f
Dino Angelo Luciano,28,New York,1st,8,7,0,1,20,m
Eboni Henry,33,Illinois,2nd,8,7,1,2,18,f
Jason Wang,34,Massachusetts,2nd,8,9,1,1,17,m
Caitlin Meade,25,Illinois,3rd,8,11,1,0,15,f
Jeff Philbin,29,Florida,3rd,8,0,3,6,14,m
Yachecia Holston,43,Michigan,3rd,8,4,2,5,13,f
Gabriel Lewis,19,Oklahoma,4th,8,3,1,2,14,m
Daniel Pontes-Macedo,31,Massachusetts,5th,8,3,0,0,15,m
Caitlin Jones,24,Pennsylvania,5th,8,1,1,6,9,f
Adam Wong,21,Massachusetts,6th,8,3,0,4,9,m
Jenny Cavellier,25,Ohio,6th,8,2,0,2,9,f
Mike Newton,53,Texas,7th,8,3,0,3,6,m
Reba Billingsley,48,Texas,8th,8,1,0,0,9,f
Brien O'Brien,32,California,9th,8,3,1,0,6,m
Necco Ceresani,26,South Carolina,10th,8,2,1,0,5,f
Jennifer Williams,25,Louisiana,11th,8,0,0,2,4,f
Sam Reiff-Pasarew,37,Maryland,12th,8,1,0,3,1,m
Heather Dombrosky,37,Florida,13th,8,1,0,1,1,f
Paige Jimenez,18,HA,14th,8,0,0,0,0,f
Mark Togni,43,Oregon,15th,8,0,0,0,0,m
Gerron Hurt,25,Kentucky,1st,9,8,1,7,13,m
Ashley Mincey,28,Florida,2nd,9,7,3,3,15,f
Cesar Cano,33,Texas,2nd,9,11,1,3,12,m
Samantha Daily,20,Iowa,3rd,9,5,3,7,12,f
Bowen Li,24,China,3rd,9,6,2,4,14,m
Farhan Momin,25,Illinois,4th,9,4,1,3,13,m
Julia Danno,43,Illinois,5th,9,7,0,1,11,f
Shanika Patterson,34,Florida,5th,9,2,0,3,12,f
Taylor Waltmon,30,Texas,6th,9,2,0,2,12,f
Emily Hallock,28,Wisconsin,6th,9,3,0,0,11,f
Chelsea Sargent,28,Texas,7th,9,3,1,1,9,f
Seung Joo Yun,21,California,7th,9,3,0,1,9,m
Ralph Xavier Degala,29,Texas,8th,9,3,1,1,7,m
Mark Ingraham,19,Minnesota,9th,9,4,0,1,4,m
Ryan Cortez,33,Texas,10th,9,3,0,2,4,m
Lindsay Haigh,41,Massachusetts,11th,9,0,0,0,6,f
Matthew Houck,28,Iowa,11th,9,2,0,1,3,m
Juni Cuevas,28,North Carolina,12th,9,0,0,0,4,f
Alecia Winters,30,Michigan,13th,9,0,0,0,3,f
Darrick Krause,34,Arizona,14th,9,0,0,1,1,m
Olusola Ogbomo,29,South Carolina,15th,9,0,0,1,0,f
Stephanie Willis,32,New Jersey,15th,9,0,0,1,0,f
Sal Maida,31,California,16th,9,0,0,0,0,m
Sid Hoeltzell,63,Florida,16th,9,0,0,0,0,m
Dorian Hunter,45,Georgia,1st,10,6,3,3,11,f
Sarah Faherty,31,California,2nd,10,5,1,4,13,f
Nick DiGiovanni,22,Rhode Island,3rd,10,6,2,4,11,m
Noah Sims,32,Georgia,4th,10,3,1,6,12,m
Shari Mukherjee,34,Michigan,5th,10,3,2,5,10,f
Subha Ramiah,54,New York,5th,10,4,0,4,12,m
Micah Yaroch,19,Michigan,6th,10,2,2,5,10,m
Brielle Baker,24,Texas,7th,10,3,3,5,6,f
Jamie Hough,42,South Carolina,8th,10,3,1,2,11,m
Fred Chang,24,California,9th,10,5,0,3,7,m
Wuta Onda,30,New York,10th,10,2,1,5,4,m
Renee Rice,33,Oklahoma,11th,10,3,1,4,4,f
Samuel Haaz,35,Pennsylvania,12th,10,3,0,4,4,m
Keturah King,30,England,13th,10,3,0,1,5,f
Elizabeth Linn,53,Michigan,14th,10,1,1,2,2,f
Michael Silverstein,31,Pennsylvania,14th,10,2,1,2,2,m
Evan Tesiny,36,New York,15th,10,1,1,0,2,m
Kimberly White,31,New York,16th,10,0,0,2,0,f
Deanna Colon,45,California,17th,10,0,0,0,0,f
Kenneth Palazzolo,46,Massachusetts,17th,10,0,0,0,0,m
Mary Jayne Buckingham,59,Texas,Withdrew,11,0,0,0,0,f
Kelsey Murphy,32,Indiana,1st,11,6,3,1,5,f
Autumn Moretti,27,Massachusetts,2nd,11,3,1,0,8,f
Suu Khin,30,Texas,2nd,11,4,0,1,7,m
Alejandro Valdivia,39,Georgia,3rd,11,1,0,3,7,m
Michael Newman,47,New Jersey,4th,11,0,1,3,5,m
Abe Konick,22,New York,4th,11,2,1,1,3,m
Anne Hicks,39,Michigan,5th,11,0,2,3,2,f
Joseph Manglicmot,32,Texas,5th,11,1,1,1,2,m
Lexy Rogers,23,Illinois,6th,11,0,3,1,1,f
Tay Westberry,29,Nebraska,7th,11,1,0,0,1,f
Miles Gateff,31,Texas,8th,11,0,0,0,0,m
Matt Gagnon,36,Connecticut,9th,11,0,0,0,0,m
Annai Gonzalez,25,Texas,10th,11,0,0,0,0,f
Elyce Wooten,39,Illinois,11th,11,0,0,0,0,f
Grant Gillon,32,Iowa,1th,13,7,1,2,3,m
Jennifer Maune,42,Alaska,2nd,13,2,1,4,5,f
Kennedy Underwood,26,Colorado,2nd,13,1,4,2,6,m
Reagan Sidney,44,Louisiana,3rd,13,2,2,2,5,f
Wayne Lewis,51,Ohio,4th,13,6,2,1,2,m
Savannah Miles,26,Alamba,5th,13,2,1,2,4,f
Brynn Weaver,33,Rohde Island,6th,13,2,3,1,4,f
Kolby Chandler,30,Texas,6th,13,2,3,1,3,m
Madame Donut,48,HAwaii,7th,13,2,1,1,3,f
Lizzie Hartman,29,Alabama,8th,13,1,2,2,3,f
James Barfield,31,Orgeon,9th,13,1,1,1,4,m
Charles Calvino,34,Ohio,10th,13,2,0,2,2,m
Nina Interlandi Bell,44,Maine,11th,13,0,2,1,3,f
Kendal Adair,27,Missouri,12th,13,1,1,1,0,f
Kyle Hopkins,41,Minnisota,13th,13,2,0,0,1,m
Purvi Dogra,48,New Jersey,14th,13,0,0,0,3,f
Sarah ,32,Missouri,14th,13,1,0,0,1,f
Ryan Wal,33,New Jersey,15th,13,0,0,0,2,m
Richie Jones-Muham,28,Maryland,16th,13,0,0,1,0,m
Amanda Clark K,44,California,17th,13,0,0,0,0,f
